split;reason;text;value
0;;"Mandag den 22. juni 2020 (D)

1

Titler på de anmeldte sager vil fremgå af www.folketingstidende.dk
(jf. ovenfor).

134. møde

Sundheds- og Ældreudvalget har afgivet:";
201;Time;"Beretning om fremskyndelse af revision af epidemiloven.
(Beretning nr. 2).

Dagsorden
1) Spørgsmål om fremme af forespørgsel nr. F 66:
Forespørgsel til finansministeren om EU’s genopretningsfond.
Af Morten Messerschmidt (DF) og Peter Skaarup (DF).
(Anmeldelse 18.06.2020).
2) Forespørgsel nr. F 65:
Forespørgsel til statsministeren om den indenrigs- og udenrigs‐
politiske situation.
Af Jesper Petersen (S), Sophie Løhde (V), Kristian Thulesen Dahl
(DF), Morten Østergaard (RV), Pia Olsen Dyhr (SF), Pernille Skip‐
per (EL), Søren Pape Poulsen (KF), Pernille Vermund (NB), Alex
Vanopslagh (LA), Torsten Gejl (ALT), Aaja Chemnitz Larsen (IA),
Aki-Matilda Høegh-Dam (SIU), Edmund Joensen (SP), Sjúrður
Skaale (JF), Simon Emil Ammitzbøll-Bille (UFG), Uffe Elbæk
(UFG), Sikandar Siddique (UFG) og Susanne Zimmer (UFG).
(Anmeldelse 09.06.2020. Fremme 11.06.2020).";kl. 9.00
1072;Time;"Beretningen vil fremgå af www.folketingstidende.dk.
Afslutningsdebatten i dag bliver tolket på tegnsprog, således at døve
kan følge debatten. Tegnsprogstolkningen kan ses direkte på Folke‐
tingets hjemmeside.

Det første punkt på dagsordenen er:
1) Spørgsmål om fremme af forespørgsel nr. F 66:
Forespørgsel til finansministeren om EU’s genopretningsfond.
Af Morten Messerschmidt (DF) og Peter Skaarup (DF).
(Anmeldelse 18.06.2020).";Kl. 09:00
1516;Time;;Kl. 09:00
1551;title_name;":
Hvis ingen gør indsigelse mod fremme af denne forespørgsel, be‐
tragter jeg Tingets samtykke som givet.
Det er givet.";Henrik Dam Kristensen
1705;title_name;":
Mødet er åbnet.
I dag er der følgende anmeldelser:
Beskæftigelsesministeren (Peter Hummelgaard):
Lovforslag nr. L 204 (Forslag til lov om ændring af lov om en
aktiv beskæftigelsesindsats og lov om arbejdsløshedsforsikring m.v.
(Ekstraordinært løft for ledige med ret til en erhvervsuddannelse
med forhøjet dagpengesats på 110 pct. i 2020-2021)) og
Lovforslag nr. L 205 (Forslag til lov om ændring af lov om en ak‐
tiv beskæftigelsesindsats, lov om arbejdsløshedsforsikring m.v., lov
om forberedende voksenundervisning og ordblindeundervisning for
voksne, lov om ændring af lov om arbejdsmarkedsuddannelser m.v.,
lov om forberedende voksenundervisning og ordblindeundervisning
for voksne, lov om Arbejdsgivernes Uddannelsesbidrag, lov om
godtgørelse og tilskud til befordring ved deltagelse i erhvervsrettet
voksen- og efteruddannelse og forskellige andre love, og lov om en
rejsegarantifond. (Justeret uddannelsesløft, udvidet adgang til fagene
Digital opgaveløsning og Engelsk og bemyndigelsesbestemmelse til
Rejsegarantifonden)).

Det sidste punkt på dagsordenen er:
2) Forespørgsel nr. F 65:
Forespørgsel til statsministeren:
Hvad kan statsministeren oplyse om den indenrigs- og udenrigs‐
politiske situation?
Af Jesper Petersen (S), Sophie Løhde (V), Kristian Thulesen Dahl
(DF), Morten Østergaard (RV), Pia Olsen Dyhr (SF), Pernille Skip‐
per (EL), Søren Pape Poulsen (KF), Pernille Vermund (NB), Alex
Vanopslagh (LA), Torsten Gejl (ALT), Aaja Chemnitz Larsen (IA),
Aki-Matilda Høegh-Dam (SIU), Edmund Joensen (SP), Sjúrður
Skaale (JF), Simon Emil Ammitzbøll-Bille (UFG), Uffe Elbæk
(UFG), Sikandar Siddique (UFG) og Susanne Zimmer (UFG).
(Anmeldelse 09.06.2020. Fremme 11.06.2020).";Henrik Dam Kristensen
3404;Time;;Kl. 09:01
3439;title_name;":
Jeg gør opmærksom på, at afstemning om eventuelle forslag til
vedtagelse ikke udsættes.
Vi skal først have en begrundelse, og det er ordføreren for fore‐
spørgerne, hr. Jesper Petersen, der begrunder forespørgslen.

2

Mandag den 22. juni 2020 (F 65)";Henrik Dam Kristensen
3703;Time;"Begrundelse
(Ordfører for forespørgerne)";Kl. 09:01
3765;name_party;":
Det skal ikke blive nogen lang kritisk indledning. Jeg vil bare sige,
at som traditionen foreskriver vil vi gerne have en afslutningsdebat
her i Folketinget. Samtlige partier og Tingets løsgængere forespørger
statsministeren om, hvad hun kan oplyse om den indenrigs- og uden‐
rigspolitiske situation.";Jesper Petersen
4077;Time;;Kl. 09:02
4112;title_name;":
Tak for det. Jeg gør opmærksom på, at vi nu får vi besvarelsen fra
statsministeren, og efter besvarelsen vil der ikke blive tid til korte
bemærkninger. Dem tager vi på et eller andet tidspunkt ud på aftenen
– tror jeg.
Statsministeren for besvarelsen, værsgo.";Henrik Dam Kristensen
4383;Time;Besvarelse;Kl. 09:02
4431;title_name;":
I dag afslutter vi et folketingsår, som blev helt anderledes, end vi
havde forestillet os. Danmark og verden blev ramt af en ukendt,
smitsom og dødelig virus. Med et slag blev hverdagens problemer
små, noget større var på spil – liv og død. I den situation stod hele
Danmark sammen. Vi passede på de ældre og de sårbare. Vi bar
hinandens skæbner i vores hænder helt bogstaveligt. Aldrig har det
været mere tydeligt, hvor afhængige vi er af hinanden.
I Danmark er 600 mennesker døde med corona, hvert mistet liv
er et tab. Men på den alvorlige baggrund har vi reddet mange flere
menneskeliv sammen: hindret, at endnu flere blev virussens ofre.
Det kan vi være stolte af. Vi kan også være stolte over, at vores
sundhedsvæsen klarede sig igennem foråret. Det lykkedes at omstille
sygehusene, så der var nok kapacitet. Nye afdelinger blev åbnet
på rekordtid, sundhedspersonalet sled på lange vagter. De syge fik
hjælp. En kæmpe tak til alle jer, der arbejder i vores sundhedsvæsen,
til jer, der arbejder i ældreplejen, til alle jer, der passer på de mest
udsatte og sårbare.
Coronaen har stillet helt særlige krav til personalet i frontlinjen.
Samtidig har vi sat ind for at beskytte arbejdspladser og økonomi.
Det har vi også gjort i fællesskab: virksomheder, lønmodtagere og
Folketinget. Helt fra start var det åbenlyst, at corona ikke kun var
en sundhedskrise. Det var en samfundskrise. Virussen spredte sig
fra land til land. Det gjorde de økonomiske problemer også. Produk‐
tionsstoppet i Kina satte sig straks i verdensøkonomien og i dansk
eksport, usikkerheden steg.
Af hensyn til økonomien lukkede vi aldrig hele det danske sam‐
fund ned, men kunne dele af samfundet. De fleste i den offentlige
sektor blev sendt hjem. Det gav plads til, at mange i den private
sektor kunne blive ved med at gå på arbejde i produktionen, i energi‐
sektoren, i forsyningssektoren, i butikkerne og i transportsektoren.
Da vi åbnede igen, skridt for skridt, tog vi også hensyn til sundhed,
økonomi og arbejdspladser.
Det har været dramatiske måneder, hvor vi handlede i fællesskab,
hvor vi handlede hurtigt, og hvor vi hellere gik et skridt for langt
end et skridt for kort. Det har været helt afgørende for, hvor vi står
i dag, nemlig et godt sted. Vi har ved fælles kraft i Danmark vundet
første halvleg i kampen mod corona. Det, vi har udrettet sammen,
hele Danmark, vil gå over i historien. Vi kan være taknemlige, og vi
kan være stolte. Danmark, det er godt gået.

Men vi er ikke igennem endnu. Der er også en anden halvleg, ja,
måske flere. Smitten er her endnu. Det ser vi ude i verden, og det
blev vi mindet om herhjemme så sent som i sidste uge.
For første gang i flere måneder holder vi i dag møde i Folke‐
tingssalen uden restriktioner. Som på alle andre arbejdspladser er
mange ting anderledes. Vi skal holde mere afstand og tage hensyn
til hinanden – det sidste klæder os måske egentlig meget godt. De
grønlandske og færøske medlemmer er også tilbage. Det er dejligt
at se jer igen. Jeg er fuld af beundring over indsatsen i jeres lande.
På Færøerne og i Grønland er det gået over al forventning, effektivt.
I har fundet jeres egne svar på coronakrisen. I har vist de små
samfunds styrke.";Mette Frederiksen
