split;reason;text;value
0;;"Fredag den 13. november 2020 (D)

1

(Fremsættelse 07.10.2020).

17. møde";
112;Time;"Dagsorden
1) 1. behandling af lovforslag nr. L 77:
Forslag til lov om aflivning af og midlertidigt forbud mod hold af
mink.
Af ministeren for fødevarer, fiskeri og ligestilling (Mogens Jensen).
(Fremsættelse 10.11.2020).
2) 1. behandling af lovforslag nr. L 68:
Forslag til lov om afgift af polyvinylklorid og ftalater (pvc-afgiftsloven).
Af skatteministeren (Morten Bødskov).
(Fremsættelse 30.10.2020).
3) 1. behandling af lovforslag nr. L 69:
Forslag til lov om ændring af ligningsloven, pensionsbeskatningsloven, skatteindberetningsloven og forskellige andre love. (Justering
af medarbejderaktieordningen for nye, mindre virksomheder, smidiggørelse af forskellige pensionsbeskatningsregler og indberetning
af skattepligtige udbetalinger fra finansielle virksomheder til deres
kunder m.v.).
Af skatteministeren (Morten Bødskov).
(Fremsættelse 30.10.2020).
4) 1. behandling af beslutningsforslag nr. B 12:
Forslag til folketingsbeslutning om ophævelse af fradragsloftet for
donationer til velgørenhed.
Af Mai Mercado (KF) m.fl.
(Fremsættelse 07.10.2020).
5) 1. behandling af beslutningsforslag nr. B 14:
Forslag til folketingsbeslutning om afgifter på tobak.
Af Kirsten Normann Andersen (SF) m.fl.
(Fremsættelse 07.10.2020).
6) Forespørgsel nr. F 4:
Forespørgsel til børne- og undervisningsministeren om effekten
af skærpede regler for fordeling af børn og unge i landets daginstitutioner og uddannelsesinstitutioner.
Af Mette Thiesen (NB) m.fl.
(Anmeldelse 07.10.2020. Fremme 20.10.2020).
7) 1. behandling af lovforslag nr. L 15:
Forslag til lov om ændring af forældreansvarsloven. (Forældremyndighed, barnets bopæl og samvær for forældre, der er dømt for
overtrædelse af straffelovens terrorbestemmelser).
Af social- og indenrigsministeren (Astrid Krag).

8) 1. behandling af lovforslag nr. L 16:
Forslag til lov om ændring af lov om forbud mod forskelsbehandling
på grund af handicap. (Tydeliggørelse af retten til rimelig individuel
tilpasning i forhold til dagtilbud til børn og i forhold til folkeskolen).
Af social- og indenrigsministeren (Astrid Krag).
(Fremsættelse 07.10.2020).
9) 1. behandling af lovforslag nr. L 17:
Forslag til lov om ændring af lov om social service. (Forberedelse af
overgangen til voksenlivet for unge med betydelig og varigt nedsat
fysisk eller psykisk funktionsevne eller indgribende kronisk eller
langvarig lidelse).
Af social- og indenrigsministeren (Astrid Krag).
(Fremsættelse 07.10.2020).";kl. 10.00
2553;Time;Meddelelser fra formanden;Kl. 10:00
2614;title_name;":
Mødet er åbnet.
Sundheds- og ældreministeren (Magnus Heunicke) har meddelt mig,
at han ønsker i henhold til forretningsordenens § 19, stk. 4, at give
Folketinget en skriftlig
Redegørelse om ældreområdet 2020.
(Redegørelse nr. 9).
Eksemplarer vil blive omdelt, og redegørelsen vil fremgå af
www.folketingstidende.dk.
Redegørelsen vil komme til forhandling fredag den 27. november
2020.
Da børne- og undervisningsministeren er gået i selvisolation udgår
forhandlingen af F 4 fra dagsordenen i dag.
F 4 var oprindeligt placeret på dagsordenen som punkt nr. 6.
Der er i dag følgende anmeldelser:
Mette Thiesen (NB) m.fl.:
Beslutningsforslag nr. B 86 (Forslag til folketingsbeslutning om at
fjerne tilskuddet til friskoler baseret på islamiske værdier).
Alex Vanopslagh (LA) m.fl.:
Beslutningsforslag nr. B 87 (Forslag til folketingsbeslutning om genindførelse af kontoen til frivillige skatteindbetalinger).

2

Fredag den 13. november 2020 (L 77)

Titler på de anmeldte sager vil fremgå af www.folketingstidende.dk
(jf. ovenfor).

lovforslag, så den nødvendige lovhjemmel kan træde i kraft og vi
kan få minkene aflivet i Danmark.
Med de bemærkninger er vi klar til at sende lovforslaget til
viderebehandling i fagudvalget. Tak for ordet.";Henrik Dam Kristensen
3861;Time;"Det første punkt på dagsordenen er:
1) 1. behandling af lovforslag nr. L 77:
Forslag til lov om aflivning af og midlertidigt forbud mod hold
af mink.
Af ministeren for fødevarer, fiskeri og ligestilling (Mogens Jensen).
(Fremsættelse 10.11.2020).";Kl. 10:05
4119;Time;Forhandling;Kl. 10:01
4166;title_name;":
Forhandlingen er åbnet.
Hr. Anders Kronborg, Socialdemokratiet.";Henrik Dam Kristensen
4241;Time;(Ordfører);Kl. 10:01
4273;name_party;":
Tak for ordet. I min korte tid som folketingsmedlem har jeg oplevet,
at jeg nogle gange har stået heroppe som ordfører og været henrykt
for et lovforslag, og andre gange har jeg været mere nedtrykt. Det
her er desværre et af de lovforslag, som gør rigtig ondt, både ondt i
maven og ondt i hjertet. Men når man skal bruge hjernen, er det det
eneste rigtige i forhold til covid-19, for vi skal sætte folkesundheden
først.
Vi står midt i en global pandemi, hvor coronavirussen spreder sig
i hele verden, også i Danmark, og fordi vi fra starten har handlet
resolut, er vi i fællesskab kommet igennem krisen, og sammenligner
vi os med andre lande er vi også kommet bedre igennem krisen.
Coronaen har dog ramt minkfarmene rigtig hårdt. Det har vist
sig, at de små dyr er rigtig modtagelige for virussen. Det er sundhedsmyndighedernes vurdering, at minkavlen under den igangværende covid-19-epidemi indebærer en betydelig risiko for folkesundheden. Risikoen for folkesundheden gælder, uanset om cluster-5-mutationen er uddød eller ej. Der kan opstå nye cluster-6-, cluster-7eller cluster-8-mutationer.
For 14 dage siden stod vi her en fredag aften og havde en 7
timer lang debat om mink her i Folketingssalen. Her blev der bl.a.
fremsat forslag til vedtagelser, der støttede op om minkerhvervet i
Danmark fremover, og jeg tror ikke, at nogen i deres vildeste fantasi
kunne have troet på, at vi i dag ville stå og skulle aflive alle mink i
Danmark. Det viser noget om, hvor lumsk og farlig covid-19 er.
Det er stadig nødvendigt, desværre, at aflive mink i Danmark.
Smitten spreder sig fortsat, og nye minkfarme kan konstatere smitte. Der er mig bekendt næsten 250 minkfarme i Danmark, som i
øjeblikket er smittet med covid-19.
Det er en tragisk situation for minkavlerne, som må se deres
livsværk blive ødelagt af coronaen. De fortjener hele Danmarks dybfølte sympati og anerkendelse for, at de i øjeblikket tager et enormt
samfundsansvar, når de afliver deres minkbestand. Det er i sidste
ende folkesundheden, de er med til at sikre. Jeg vil også bruge den
her tale til at sende minkavlerne en meget stor og et fra hjertet tak.
Det er vigtigt, at minkavlerne hjælper os. Derfor hilser vi det
også velkomment, at der er en økonomisk bonus til avlerne, som
hjælper til.
Jeg håber, at Folketingets partier vil være med til at tage det
nødvendige ansvar, og at vi hurtigt og effektivt kan behandle dette";Anders Kronborg
6702;title_name;":
Tak for det. Der er først lige en række korte bemærkninger. Først er
det hr. Erling Bonnesen.";Henrik Dam Kristensen
