split;reason;text;value
0;;"Tirsdag den 21. oktober 2014 (D)

1

Beslutningsforslag nr. B 10 (Forslag til beslutningsforslag om forbud mod maskering og heldækkende beklædning i offentligt rum).

5. møde

(Tilråb fra salen: Højere!) Jamen jeg kan godt tale højere, men det
var måske på bænkene, man skulle tale lavere.
Kan man høre mig nu? (Tilråb fra salen: Ja!) Det hjalp? Godt.";
391;Time;"Dagsorden

Pernille Skipper (EL) m.fl.:

1) Spørgsmål om meddelelse af orlov til og indkaldelse af stedfortrædere for medlem af Folketinget Søren Espersen (DF),
medlem af Folketinget Jeppe Mikkelsen (RV), medlem af Folketinget Annette Vilhelmsen (SF), medlem af Folketinget Henning
Hyllested (EL) og medlem af Folketinget Thyra Frank (LA).
2) Indstilling fra Udvalget til Valgs Prøvelse:
Godkendelse af stedfortræder som ordinært medlem af Folketinget
og godkendelse af stedfortrædere som midlertidige medlemmer af
Folketinget.
3) 1. behandling af lovforslag nr. L 13:
Forslag til lov om ændring af lov om aktiv socialpolitik. (Ændring af
formue- og fradragsregler ved efterbetaling af offentlige forsørgelsesydelser og øvrige offentlige sociale ydelser m.v.).
Af beskæftigelsesministeren (Mette Frederiksen).
(Fremsættelse 08.10.2014).
4) 1. behandling af lovforslag nr. L 14:
Forslag til lov om ændring af lov om ferie. (Færre betingelser for optjening af sygeferiegodtgørelse og fællesopkrævning fra arbejdsgivere for betalingen til Feriepengeinfo m.v.).
Af beskæftigelsesministeren (Mette Frederiksen).
(Fremsættelse 08.10.2014).
5) 1. behandling af lovforslag nr. L 15:
Forslag til lov om ændring af lov om vikarers retsstilling ved udsendelse af et vikarbureau m.v. og lov om Arbejdsretten og faglige
voldgiftsretter. (Overførsel af kompetencer til Arbejdsretten).
Af beskæftigelsesministeren (Mette Frederiksen).
(Fremsættelse 09.10.2014).

Beslutningsforslag nr. B 11 (Forslag til folketingsbeslutning om en
forsøgsordning med kropskamera på politifolk).
Martin Henriksen (DF) m.fl.:
Beslutningsforslag nr. B 12 (Forslag til folketingsbeslutning om opløsning af Grimhøjmoskeen i Aarhus).
Beslutningsforslag nr. B 13 (Forslag til folketingsbeslutning om ændring af asyl- og udlændingepolitikken).";kl. 13.00
2243;name_party;":
Forespørgsel nr. F 5 (Hvad kan udenrigsministeren oplyse om den
foreløbige status på kampen mod ISIL, herunder Tyrkiets relation til
ISIL, formodningerne om en mulig tyrkisk fangeudveksling med
ISIL og den konkrete sag om den danske statsborger mistænkt for attentatforsøg, samt Danmarks relation til Tyrkiet og støtte til progressive kræfter, der kæmper mod ISIL og for demokrati, ligestilling og
mangfoldighed?).
Titlerne på de anmeldte sager vil fremgå af www.folketingstidende.dk (jf. ovenfor).

Det første punkt på dagsordenen er:
1) Spørgsmål om meddelelse af orlov til og indkaldelse af stedfortrædere for medlem af Folketinget Søren Espersen (DF),
medlem af Folketinget Jeppe Mikkelsen (RV), medlem af Folketinget Annette Vilhelmsen (SF), medlem af Folketinget Henning
Hyllested (EL) og medlem af Folketinget Thyra Frank (LA).";Nikolaj Villumsen
3089;Time;;Kl. 13:01
3100;Time;Meddelelser fra formanden;Kl. 13:00
3162;title_name;":
Mødet er åbnet.
I dag er der følgende anmeldelser:";Pia Kjærsgaard
3259;name_party;:;Martin Henriksen
3296;title_name;":
Søren Espersen (DF), Jeppe Mikkelsen (RV), Annette Vilhelmsen
(SF), Henning Hyllested (EL) og Thyra Frank (LA) har søgt om orlov fra den 22. oktober 2014 på grund af midlertidig udsendelse i offentligt hverv.
Hvis ingen gør indsigelse, vil jeg betragte det som vedtaget, at der
meddeles orlov som ansøgt, og at stedfortræderne indkaldes som
midlertidige medlemmer.

2

Tirsdag den 21. oktober 2014 (UVP )

Det er vedtaget.

Det næste punkt på dagsordenen er:
2) Indstilling fra Udvalget til Valgs Prøvelse:
Godkendelse af stedfortræder som ordinært medlem af Folketinget og godkendelse af stedfortrædere som midlertidige medlemmer af Folketinget.

Det næste punkt på dagsordenen er:
3) 1. behandling af lovforslag nr. L 13:
Forslag til lov om ændring af lov om aktiv socialpolitik. (Ændring af formue- og fradragsregler ved efterbetaling af offentlige
forsørgelsesydelser og øvrige offentlige sociale ydelser m.v.).
Af beskæftigelsesministeren (Mette Frederiksen).
(Fremsættelse 08.10.2014).";Pia Kjærsgaard
4300;Time;Forhandling;Kl. 13:04
4324;Time;Forhandling;Kl. 13:02
4372;title_name;":
Fra Udvalget til Valgs Prøvelse har jeg modtaget indstilling om, at 1.
stedfortræder for Socialdemokratiet i Københavns Storkreds, Yildiz
Akdogan, godkendes som ordinært medlem af Folketinget fra og
med den 21. oktober 2014, hvor Karen Hækkerup nedlægger sit
mandat.
Jeg har endvidere modtaget indstilling om, at følgende godkendes som midlertidige medlemmer af Folketinget fra og med den 22.
oktober 2014:
1. stedfortræder for Dansk Folkeparti i Københavns Omegns
Storkreds, Kenneth Kristensen Berth, i anledningen af Søren Espersens orlov: 1. stedfortræder for Radikale Venstre i Østjyllands Storkreds, Mie Bergmann, i anledningen af Jeppe Mikkelsens orlov: 1.
stedfortræder for Socialistisk Folkeparti i Fyns Storkreds, Karsten
Hønge, i anledningen af Annette Vilhelmsens orlov: 1. stedfortræder
for Enhedslisten i Sydjyllands Storkreds, Sarah Nørris, i anledningen
af Henning Hyllesteds orlov: og 1. stedfortræder for Liberal Alliance
i Nordjyllands Storkreds, Peter Laigaard, i anledningen af Thyra
Franks orlov.
Er der nogen, der ønsker ordet?
Da det ikke er tilfældet, går vi til afstemning.";Pia Kjærsgaard
5482;Time;Afstemning;Kl. 13:03
5529;title_name;":
Der stemmes om udvalgets indstilling.
For stemte 108 (V, S, DF, RV, SF, EL, LA, KF og Uffe Elbæk
(UFG)), imod stemte 0, hverken for eller imod stemte 0.
Udvalgets indstilling er enstemmigt vedtaget med i alt 108 stemmer.";Pia Kjærsgaard
5787;title_name;":
Forhandlingen er åbnet. Hr. Jakob Engel-Schmidt, Venstre, værsgo.
Så skal man nok enten forlade salen og tie stille eller sætte sig
ned og tie stille – eller gøre begge dele.";Pia Kjærsgaard
5973;Time;"(Ordfører)
Jakob Engel-Schmidt (V):
Mine damer og herrer, det glæder mig, at der er interesse for behandlingen af det her lovforslag, forslag til lov om ændring af lov om aktiv socialpolitik, og at den tiltrækker så mange tilskuere og allerede
giver anledning til så højlydte kommentarer fra salens ærede medlemmer – og en særlig velkomst til den nye beskæftigelsesminister:
jeg ser på vegne af Venstre frem til samarbejdet.
Lovforslaget skal sikre, at personer, der får efterbetalt en social
ydelse efter at have vundet en sag ved Ankestyrelsen om retten til
f.eks. sygedagpenge, ikke efterfølgende mister deres uddannelseseller kontanthjælpsydelse på grund af de nuværende formue- og fradragsregler i kontanthjælpslovgivningen. Det skal i øvrigt siges, at
jeg i dag står her på vegne af den gode hr. Hans Andersen, så I skal
forestille jer, at det er Venstres sædvanlige spydspids på arbejdsmarkedspolitikområdet, der står heroppe.
Forslaget indeholder en række emner som en ændring af formueog fradragsreglerne i kontanthjælpslovgivningen. Personer, der ikke
har fået udbetalt den korrekte ydelse, og som derfor kan have stiftet
gæld, skal have mulighed for f.eks. at anvende efterbetalingen til at
tilbagebetale gælden: der skal ses bort fra efterbetalingen i 2 år efter
udbetalingen. En samlet økonomisk konsekvens af forslaget skønnes
at udgøre en offentlig merudgift på omkring 8 mio. kr. om året – det
er penge, som vi i Venstre naturligvis er klar til at bruge på at rette
op på den her urimelighed.
Vi har forståelse for problemstillingen, og vi støtter lovforslaget
med de fremlagte ændringer af kontanthjælpslovgivningen. Vi støtter, at kommunerne fremover ser bort fra efterbetaling af offentlige
ydelser ved opgørelse af indtægter.
Det er også vigtigt for mig at sige, at ...";Kl. 13:04
7774;Time;;Kl. 13:06
7810;title_name;":
Lige et øjeblik. Der er stadig væk, selv om der ikke er så mange
medlemmer til stede nu, meget uro i salen. Tak.";Pia Kjærsgaard
7934;Time;"(Ordfører)
Jakob Engel-Schmidt (V):
På baggrund af denne slagkraftige irettesættelse fra formanden vil
jeg så fortsætte med talen: tak for det.
Jeg var ved at redegøre for den meget spændende del af kontanthjælpssystemet, som jo er det nederste sikkerhedsnet for de borgere i
Danmark, der enten ikke har noget job, eller som døjer med sociale
problemer. Der mener jeg sådan set, at det er et spørgsmål om både
moral og også om rimelighed, når man går ind og laver den foreslåe-

Tirsdag den 21. oktober 2014 (L 13)

de ændring, og det vil vi gerne hjælpe regeringen med. Vi skal derfor anbefale lovforslaget.
Det sidste, jeg vil sige – og det skal ikke opfattes som en kritik,
men måske i virkeligheden mere som en opfordring til den nytiltrådte minister – er, at det jo er sørgeligt, at kommunerne i relativt mange tilfælde faktisk træffer en forkert afgørelse, som får nogle utilsigtede konsekvenser for de borgere, der mister deres ydelse. Jeg forestiller mig også, at der ligger en del mørketal på området, da det jo
ofte er de lidt svagere borgere, der oplever at blive ramt både af sygdom og af at blive viklet ind i det offentlige klagesystem. Derfor
kunne man måske med rette bede ministeren om at kigge på, om
problemets omfang er rimeligt dokumenteret, og hvad vi kan gøre i
fremtiden for at undgå, at kommunerne gang på gang træffer en urigtig afgørelse. Med det skal jeg sige tak for ordet.";Kl. 13:06
9349;Time;;Kl. 13:07
9385;title_name;":
Tak til ordføreren. Og den næste ordfører er hr. Lennart DamsboAndersen, Socialdemokraterne, værsgo.";Pia Kjærsgaard
9497;Time;(Ordfører);Kl. 13:07
9537;name_party;":
I foråret kunne vi i dagspressen læse om Pia Laursen fra Vejle, der
var på kontanthjælp. Hun havde vundet en klagesag over Vejle
Kommune og fik efterbetalt sine sygedagpenge. Det skulle vise sig
at være en dyr fornøjelse, for det betød, at kommunen kunne modregne efterbetalingen i Pia Laursens kontanthjælp i 3 ½ måneder.
Ifølge avisen kostede det Pia Laursen 39.000 kr., at Vejle Kommune
havde truffet en forkert afgørelse, og for Vejle Kommune kostede
det ingenting. Som reglerne er i dag, bliver en kontanthjælpsmodtager nemlig modregnet i sin kontanthjælp, hvis vedkommende har fået en ydelse, på baggrund af at man lige har vundet en klagesag i forhold til det offentlige. Det er ikke i orden.
Det er Socialdemokraternes holdning, at det ikke skal lægges en
kontanthjælpsmodtager til last, fordi der eksempelvis er sket en fejl i
kommunens sagsbehandling, og det skal heller ikke være gratis for
kommunen at lave fejl eller træffe en forkert afgørelse. Af den grund
er det glædeligt, at vi i dag behandler L 13.
Med L 13 udmønter vi en aftale om en ændring af formue- og
fradragsreglerne i kontanthjælpslovgivningen ved efterbetaling af
sociale ydelser, som regeringen og Enhedslisten og SF indgik den 8.
maj i år. Lovforslaget betyder, at personer, der får efterbetalt en social ydelse, ikke efterfølgende mister deres uddannelses- eller kontanthjælp på grund af formue- eller fradragsreglerne i kontanthjælpslovgivningen.
Forslaget vil også have betydning for en person, der ikke har fået
udbetalt den korrekte ydelse, og som derfor kan have stiftet gæld.
Vedkommende vil med lovforslaget få mulighed for at anvende sin
efterbetaling til at tilbagebetale gælden. Ligeledes vil lovforslaget få
betydning for personer, der modtager ressourceforløbsydelse, hvor
reglerne om fradrag af indtægter i kontant- og uddannelseshjælp finder samme anvendelse.
Samlet set betyder lovforslaget, at personer, der modtager kontanthjælp eller uddannelseshjælp, i fremtiden ikke bliver straffet
økonomisk for, at det offentlige laver fejl i sagsbehandlingen, og det
giver for os Socialdemokrater rigtig god mening. Fejl i det offentliges sagsbehandling skal ikke lægges borgeren til last, og derfor skal
kontanthjælpsmodtagere ikke modregnes i kontanthjælpen, hvis de
får efterbetalt en ydelse med baggrund i, at de har vundet en klagesag i det offentlige.
Med L 13 sikrer vi, at den situation, som Pia Laursen og mange
andre har stået i, fordi der var fejl i behandlingen af deres sag, ikke
sker igen. Det er både sund fornuft og helt retfærdigt. Så Socialdemokraterne kan støtte forslaget.

3";Lennart Damsbo-Andersen
12134;Time;;Kl. 13:10
