split;reason;text;value
0;;"4244

Onsdag den 7. maj 2008 (D)

66. m ø d e";
78;Time;"Dagsorden
1) Forespørgsel nr. F 33:
Forespørgsel til udenrigsministeren og forsvarsministeren om klyngebomber.
Af John Dyrby Paulsen (S), Pernille Frahm (SF),
Morten Helveg Petersen (RV) og Frank Aaen
(EL).
(Anmeldelse 06.05.2008. Fremme 06.05.2008).
2) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).
(Se nedenfor).
3) 1. behandling af beslutningsforslag nr.
B 115:
Forslag til folketingsbeslutning om bedre vilkår
for cyklismen.
Af Pia Olsen Dyhr (SF), Benny Engelbrecht (S)
og Bente Dahl (RV) m.fl.
(Fremsættelse 11.04.2008).
4) 1. behandling af beslutningsforslag nr.
B 116:
Forslag til folketingsbeslutning om kommunal
adgang til at indføre afgift på kørsel på vejnettet
(betalingsring m.v.).
Af Pia Olsen Dyhr (SF) m.fl.
(Fremsættelse 11.04.2008).

1) Til udenrigsministeren af:";kl. 13.00
904;name_party;":
Kan udenrigsministeren bekræfte, at han under
Muhammedkrisen i 2006 havde kontakt med
den hollandske udenrigsminister, Bernard Bot,
og at forløbet, herunder udenrigsministerens besked til sin hollandske kollega, var som beskrevet af Ritzau den 25. april 2008 i telegrammet
»Memoirer fra en EU-trykkoger«?
(Spm. nr. S 1408).

2) Til udenrigsministeren af:";Morten Messerschmidt
1286;name_party;":
Finder udenrigsministeren det - på baggrund af
den intense debat, der har været i EU om
ytringsfriheden og Muhammedtegningerne ikke bekymrende, at EU med vedtagelsen af Lissabontraktaten skal basere sig på en selvdefineret fortolkning af begreber som »solidaritet« og
»tolerance« (TEU art. 2), og nærer udenrigsministeren ikke frygt for, at disse værdier i misforstået solidaritet og tolerance med den muslimske
verden vil blive brugt til fortsatte angreb mod
ytringsfriheden?
(Spm. nr. S 1434).
3) Til udenrigsministeren af:";Morten Messerschmidt
1833;name_party;":
Mener udenrigsministeren, at de tre personer fra
The Color Orange-gruppen, der blev udvist fra
Hongkong den 26. april 2008, har modtaget den
støtte fra den danske konsul og Udenrigsministeriet, der kan forventes i situationer, hvor udvisningen er ubegrundet?
(Spm. nr. S 1437).
4) Til finansministeren af:";Pernille Frahm
2157;name_party;":
Er det ministerens opfattelse, at der skal gøres
en indsats for at rekruttere medarbejdere til den
offentlige sektor, hvis vi vil sikre en solidarisk
velfærd i fremtiden?
(Spm. nr. S 1422 (omtrykt)).
5) Til finansministeren af:";Line Barfod
2403;name_party;":
Mener ministeren, at det vil fremme rekrutteringen af medarbejdere til den offentlige sektor,
hvis der kommer markante lønløft?
(Spm. nr. S 1424 (omtrykt)).
6) Til justitsministeren af:";Line Barfod
2608;name_party;":
Mener ministeren, at det er rimeligt at nedlægge
afsoningspladser i fængslet Kærshovedgård, når
der i den kommende tid forventes at skulle afvikles en pukkel af afsonere, som er ophobet
som følge af politi- og domstolsreformen, og når
de yderligere kan forventes taget i anvendelse i
forbindelse med en række politisk besluttede
strafskærpelser, bl.a. strafskærpelse for at bære
våben?
(Spm. nr. S 1396).

Onsdag den 7. maj 2008 (D)
7) Til justitsministeren af:";Mogens Jensen
3090;name_party;":
Mener ministeren, at det er i overensstemmelse
med regeringens udtalelser om at ville modvirke det skæve Danmark, at Justitsministeriet nedlægger 21 stillinger ved fængslet Kærshovedgård ved Ikast?
(Spm. nr. S 1397).
8) Til integrationsministeren af:";Mogens Jensen
3368;name_party;":
Finder ministeren det integrationsfremmende,
at Århus Kommune nu har startet en diabetesskole, hvor der undervises på arabisk frem for
dansk, samt at kommunen planlægger tilsvarende skoleforløb senere på året, hvor undervisningen foregår på tyrkisk og somalisk?
(Spm. nr. S 1426).
9) Til integrationsministeren af:";Hans Kristian Skibby
