split;reason;text;value
0;;"3648

Torsdag den 1. februar 2007 (D)

50. m ø d e";
88;Time;"Dagsorden

4) Forhandling om redegørelse nr. R 5:
Redegørelse om status for kommunalreformens
gennemførelse og det kommunale selvstyres vilkår.
Af indenrigs- og sundhedsministeren (Lars Løkke Rasmussen).
(Redegørelsen anmeldt 8/12 2006. Redegørelsen
givet 8/12 2006. Meddelelse om forhandling
8/12 2006).

1) Spørgsmål om fremme af forespørgsel nr.
F 27:
Forespørgsel til indenrigs- og sundhedsministeren [om behandling af og forebyggende indsats
mod gigt].
Af Per Clausen (EL) m.fl.
(Forespørgslen anmeldt 26/1 2007).

5) Første behandling af beslutningsforslag nr.
B 13:
Forslag til folketingsbeslutning om nedsættelse
af en kommission om lokalt selvstyre.
Af Pia Gjellerup (S), Ole Glahn (RV), Kristen
Touborg (SF) og Line Barfod (EL) m.fl.
(Fremsat 24/10 2006).

2) Tredje behandling af lovforslag nr. L 20:
Forslag til lov om ændring af lov om værdipapirhandel m.v., lov om finansiel virksomhed, lov
om aktieselskaber, årsregnskabsloven, lov om
forebyggende foranstaltninger mod hvidvask af
udbytte og finansiering af terrorisme, lov om en
garantifond for skadesforsikringsselskaber, lov
om forsikringsformidling og forskellige andre
love. (Gennemførelse af direktivet om markeder
for finansielle instrumenter (MiFID-direktivet)
og gennemsigtighedsdirektivet, oplysningskrav
ved pengeoverførsler, indbetaling af bidrag til
skadesgarantifonden, forsikringsagenters registrering m.v.).
Af økonomi- og erhvervsministeren (Bendt
Bendtsen).
(Fremsat 4/10 2006. Første behandling 26/10
2006. Betænkning 18/1 2007. Anden behandling
25/1 2007. Ændringsforslag nr. 1-5 af 30/1 2007
til tredje behandling af økonomi- og erhvervsministeren (Bendt Bendtsen)).

6) Første behandling af lovforslag nr. L 120:
Forslag til lov om ændring af patentloven. (Indførelse af regler for tilladte handlinger foretaget
i forbindelse med opnåelse af markedsføringstilladelser for lægemidler m.v.).
Af økonomi- og erhvervsministeren (Bendt
Bendtsen).
(Fremsat 24/1 2007).

3) Anden behandling af lovforslag nr. L 41:
Forslag til lov om ændring af retsplejeloven og
forskellige andre love. (Gruppesøgsmål m.v.).
Af justitsministeren (Lene Espersen).
(Fremsat 10/10 2006. Første behandling 26/10
2006. Betænkning 25/1 2007).

7) Første behandling af lovforslag nr. L 121:
Forslag til lov om ændring af lov om en investeringsfond for Færøerne m.v. (Nedbringelse af
fondens egenkapital).
Af økonomi- og erhvervsministeren (Bendt
Bendtsen).
(Fremsat 24/1 2007).
8) Første behandling af beslutningsforslag nr.
B 24:
Forslag til folketingsbeslutning om undersøgelse af CIA-flys aktiviteter på dansk, grønlandsk
og færøsk territorium m.v.
Af Rune Lund (EL), Per Kaalund (S), Naser Khader (RV), Steen Gade (SF), Lars-Emil Johansen
(SIU), Høgni Hoydal (TF) og Kuupik Kleist (IA)
m.fl.
(Fremsat 3/11 2006).

Meddelelser fra formanden
Transport- og energiministeren (Flemming Hansen) har meddelt mig, at han ønsker skriftligt at
fremsætte:

(457)
Torsdag den 1. februar 2007 (Fremme F 27)
Forslag til lov om ændring af lov om elforsyning, lov om naturgasforsyning og lov om varmeforsyning. (Havvindmølleudbud, nettilslutning m.v.).
(Lovforslag nr. L 125).
Forslag til lov om ændring af lov om tilskud til
elproduktion. (Omlægning af tilskud til industrielle værker m.v.):
(Lovforslag nr. L 126).
Forslag til lov om ændring af lov om jernbane.
(Krav om beredskab, betalingsordning for lokomotivføreruddannelsen, Trafikstyrelsens beføjelser m.v.).
(Lovforslag nr. L 127).
Miljøminmisteren (Connie Hedegaard) har
meddelt mig, at hun ønsker skriftligt at fremsætte:
Forslag til lov om kommuners afståelse af vandforsyninger og spildevandsforsyninger.
(Lovforslag nr. L 145).
Medlemmer af Folketinget Simon Emil Ammitzbøll (RV), Steen Gade (SF) og Jørgen Arbo-Bæhr
(EL) m.fl. har meddelt mig, at de ønsker skriftligt at fremsætte:
Forslag til folketingsbeslutning om midlertidig
opholdstilladelse til afviste asylansøgere fra lande under fredsopbygning, indtil tvungen hjemsendelse er mulig.
(Beslutningsforslag nr. B 81).
Medlemmer af Folketinget Pernille Vigsø Bagge
(SF) m.fl. har meddelt mig, at de ønsker skriftligt at fremsætte:
Forslag til folketingsbeslutning om samme ret til
orlov for begge forældre i tilfælde af spædbarnsdød.
(Beslutningsforslag nr. B 82).

3649

Den første sag på dagsordenen var:
1) Spørgsmål om fremme af forespørgsel nr.
F 27:
Forespørgsel til indenrigs- og sundhedsministeren [om behandling af og forebyggende
indsats mod gigt].
Af Per Clausen (EL) m.fl.
(Forespørgslen anmeldt 26/1 2007).";kl. 10.00
4586;title_name;"Hvis ingen gør indsigelse mod fremme af denne
forespørgsel, betragter jeg Tingets samtykke
dertil som givet. (Ophold). Det er givet.

Den næste sag på dagsordenen var:
2) Tredje behandling af L 20:
Forslag til lov om ændring af lov om værdipapirhandel m.v., lov om finansiel virksomhed,
lov om aktieselskaber, årsregnskabsloven, lov
om forebyggende foranstaltninger mod hvidvask af udbytte og finansiering af terrorisme,
lov om en garantifond for skadesforsikringsselskaber, lov om forsikringsformidling og forskellige andre love. (Gennemførelse af direktivet om markeder for finansielle instrumenter
(MiFID-direktivet) og gennemsigtighedsdirektivet, oplysningskrav ved pengeoverførsler,
indbetaling af bidrag til skadesgarantifonden,
forsikringsagenters registrering m.v.).
Af økonomi- og erhvervsministeren (Bendt
Bendtsen).
(Fremsat 4/10 2006. Første behandling 26/10
2006. Betænkning 18/1 2007. Anden behandling
25/1 2007. Ændringsforslag nr. 1-5 af 30/1 2007
til tredje behandling af økonomi- og erhvervsministeren (Bendt Bendtsen)).
Der var stillet 5 ændringsforslag til tredje be- .
handling af økonomi- og erhvervsministeren
(Bendt Bendtsen).
Ændringsforslagene sattes først til forhandling.
Ingen bad om ordet.
Afstemning
Ændringsforslag nr. 1-5 vedtoges uden afstemning.

3650

Torsdag den 1. februar 2007 (L 41)

Lovforslaget som helhed sattes herefter til forhandling.
Ingen bad om ordet.
Afstemning
Lovforslaget vedtoges med 111 stemmer (V, S,
DF, KF, RV og SF) mod 3 (EL).";Formanden
6085;title_name;Lovforslaget vil nu blive sendt til statsministeren.;Formanden
6147;Time;"Den næste sag på dagsordenen var:
3) Anden behandling af lovforslag nr. L 41:
Forslag til lov om ændring af retsplejeloven og
forskellige andre love. (Gruppesøgsmål m.v.).
Af justitsministeren (Lene Espersen).
(Fremsat 10/10 2006. Forslag som fremsat 10/10
2006. Første behandling 26/10 2006. Betænkning
25/1 2007).
Der var stillet 1 ændringsforslag i betænkningen.
Uden for betænkningen var der ikke stillet ændringsforslag.
Lovforslaget og ændringsforslaget sattes til forhandling under et.
Forhandling";Kl. 10.05
6672;name_party;":
Jeg vil gerne sige, at vi som udgangspunkt er
utrolig glade for, at der nu bliver mulighed for
gruppesøgsmål i Danmark. Gruppesøgsmål er
det, det kaldes, når en masse små forbrugere
kan slå sig sammen og samle deres søgsmål
mod erhvervsdrivende, som har snydt dem for
mindre beløb, i en pulje. Det er noget, vi har ønsket os i mange år, og vi støtter varmt, at der nu
bliver mulighed for gruppesøgsmål.
Vi er alligevel kede af, at regeringen og Dansk
Folkeparti vælger at udforme lovforslaget, som
de gør. Det forekommer mig utrolig halvhjertet,
at man i denne danske model for gruppesøgs-

mål kun vil give Forbrugerombudsmanden ret
til at være den, der kan rejse sagerne. Den samlede opposition har stillet et ændringsforslag,
hvoraf det fremgår, at vi gerne ser, at det ikke
kun skal være Forbrugerombudsmanden, men
også Forbrugerrådet, som skal have mulighed
for at være sagsøger i sager, hvor frameldingsmodellen er anvendt. På den måde vil vi i Danmark give Forbrugerrådet samme mulighed,
som deres søsterorganisation netop har fået i
Norge.
At Forbrugerrådet skal gives mulighed for at
rejse sagerne mener vi at der er god logik i, da
det godt kan tænkes, at Forbrugerombudsmanden hverken vil have ressourcer til eller interesse i at rejse præcis de sager, som eksempelvis
Forbrugerrådet ville rejse. Eftersom Forbrugerombudsmanden er en offentlig håndhævelsesmyndighed, kan det nemlig meget vel tænkes, at
han først og fremmest vil føre sager, der er relateret til hans embede og derfor er markedsføringsrelaterede, hvorimod Forbrugerrådet har
givet udtryk for, at de især kunne tænke sig at
rejse sager, hvor en erhvervsvirksomhed har
overtrådt konkurrenceloven og har fået en bøde,
men hvor små forbrugere ikke kan få pengene
tilbage, selv om der har været lavet aftaler i porten.
Det vil altså sige, at den model, man laver nu,
understøtter erhvervslivet, fordi de små forbrugere ikke kan være garanteret, at de sager, der
ville kunne blive rejst, vil blive rejst.
Endvidere afviste justitsministeren at give
Forbrugerrådet bemyndigelse til at være sagsøger bl.a. med den begrundelse, at Forbrugerombudsmanden er underlagt et saglighedskrav,
hvilket Forbrugerrådet ikke er. Det forekommer
mig helt urimeligt at afvise Forbrugerrådet med
den begrundelse, da der i forvejen er så mange
skarpe krav forbundet med tilladelsen - bl.a.
skal de godkendes ved en domstol - og derfor
kan man vel ikke sige, at det vil være usagligt.
Det forekommer mig ligeledes urimeligt, at
justitsministeren trods flere spørgsmål herom
ikke kan begrunde, hvorfor det er et problem, at
Forbrugerrådets søsterorganisation kan rejse sager i Norge, og til slut blot svarer, at det ikke er
et argument i sig selv, at de kan i Norge. Til gengæld vil justitsministeren gerne efter en 3-årig
periode se på, om man kan bruge modellen fra
Norge.
Vi havde bare som opposition ønsket, at man
turde gå foran. Den her sag skal snart op i EU,
og det ville have været dejligt, hvis Danmark

Torsdag den 1. februar 2007 (L 41)
havde været et foregangsland. Nu bliver det i
stedet Norge - som står uden for EU - og vi må
så vente de 3 år på at være sikre på, at alle de
små forbrugeres sager kan blive løftet, for det er
åbenbart det, regeringen og Dansk Folkeparti
vil.";Karen Hækkerup
9927;title_name;"Tak til fru Karen Hækkerup. Så er det hr. Kim
Christiansen som ordfører.";Formanden
10021;name_party;":
Det var en ordentlig smøre her fra fru Karen
Hækkerup. Når Dansk Folkeparti ikke kan
stemme for det ændringsforslag, som bl.a. Socialdemokratiet har stillet, er det med udgangspunkt i, at vi har stillet os tilfredse med, at der
kommer en evaluering af den her ordning efter 3
år.
Vi synes, at vi nu skal give den her lovgivning
en chance for at virke, og så vil vi ud fra den
evaluering, der kommer om 3 år, tage stilling til,
om vi skal foretage os yderligere med hensyn til
loven.
Til gengæld vil jeg sige, at vi i dag beder om
at få lovforslaget tilbage i udvalget, fordi der er
nogle punkter, vi gerne vil være med til at kigge
på, bl.a. omkring evalueringsperioden, så vi får
den fastlagt lidt bedre i lovforslaget.";Kim Christiansen
10777;title_name;":
Jeg tror, at mange almindelige borgere, der følger den her debat i dag, sidder noget undrende
tilbage efter det socialdemokratiske indlæg, for
hvad er det egentlig, vi taler om her?
Regeringen har valgt at gøre Danmark til et
foregangsland også på det her område og gennemføre en helt ny proces, hvor der bliver mulighed for, at flere borgere kan gå sammen, hvis
der er en stor virksomhed, man har penge til
gode i, og så køre en sag sammen, frem for hver
for sig at skulle have udgifter forbundet med at
føre retssager enkeltvis.";Lene Espersen
11319;Time;"Regeringen har valgt at sige, at det som udgangspunkt må være sådan, at modellen er en
tilmeldingsmodel. Det vil sige, at alle de borgere, der har et ensartet krav mod en virksomhed,
kan gå sammen, og så kan de udpege Forbrugerrådet eller en hvilken som helst anden organisation, der har en interesse i sagen, til at repræsentere dem.
Det, som Socialdemokratiet og dele af oppositionen ønsker, er at fravige den model, hvor bor-

3651

gerne selv frivilligt tilmelder sig, og i stedet vil
de presse en model ned over hovedet på folk,
hvor man så i stedet for selv aktivt skal fravælge
at blive rodet ind i en retssag.
Det, der har været meget afgørende for regeringen, har været, at udgangspunktet var en tilmeldingsmodel, hvor borgeren selv bestemmer,
om vedkommende vil påtage sig den økonomiske risiko, det er at være en del af en retssag.
Vi har bl.a. lyttet til den kritik, der har været,
hvor forbrugerorganisationer har sagt, at der
kunne være tilfælde, hvor det er meget, meget
små beløb, det drejer sig om, og hvor der måske
er enkelte borgere i landet, der ikke er klar over,
at der kører en retssag. Og der skal der være en
mulighed for at bruge den såkaldte frameldingsmodel, hvor alle forbrugere sådan set bliver part
i sagen, om de har lyst eller ej.
I sådanne sager - det tror jeg faktisk mange
borgere godt kan forstå - hvor vi inddrager en
masse forbrugere og borgere i en retssag uden
deres medvirken, må der nødvendigvis stilles
nogle særlige krav til, hvilken type sager det
skal være. Det er baggrunden for, at regeringen
har foreslået, at det alene er Forbrugerombudsmanden, hvor der er saglighedskrav, som skal
opfyldes, der kan få lov til at føre disse sager.
Jeg synes, at vi har fundet et meget flot kompromis, nemlig på den ene side at indføre muligheder for gruppesøgsmål, hvilket længe har været et ønske fra forbrugerorganisationer og forbrugere: det bliver imødekommet nu: og på den
anden side endda en udvidet ret til i helt særlige
tilfælde at kunne føre retssager for en hel masse
brugere, også nogle, der måske ikke selv ved, at
de lige pludselig er blevet involveret i en retssag.
Derfor synes jeg også, at den kritik, som jeg i
dag hører fra den socialdemokratiske ordfører,
er ekstremt hul, og jeg har svært ved at se, hvilke forbrugerinteresser det egentlig er, man forsøger at markedsføre sig på grundlag af. Tilbage
står - det fremgik også meget klart af fru Karen
Hækkerups indlæg - at det jo ikke er forbrugerne, der har Socialdemokratiets interesse, nej, det
er Forbrugerrådet.
Sagt til fru Karen Hækkerup: Forbrugerrådet
kan sagtens i alle tilmeldingssagerne, og det vil
være langt, langt størstedelen af alle sagerne,
være repræsentant for gruppen, og derfor er det
for mig fuldstændig ubegribeligt, at det ikke virker, som om oppositionen egentlig er interesseret i borgerne og deres interesser, nej, man vil tilgodese en enkelt interesseorganisations syns-

3652

Torsdag den 1. februar 2007 (L 41)

punkter. Jeg synes ikke, det er klædeligt, og jeg
synes faktisk, det er ærgerligt, at vi skal stå med
et ændringsforslag under andenbehandlingen,
når der ellers generelt i Folketinget er meget stor
enighed om, at gruppesøgsmål er en god ting,
og at det er en god ting, at udgangspunktet er en
tilmeldingsmodel, hvor borgerne selv vælger, og
de vil være med i retssagen eller ej.
(Kort bemærkning).";Kl. 10.10
